Date: 2024-04-30, Time: 21:45:22, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:45:33, Temperature: 30, Humidity: 39
Date: 2024-04-30, Time: 21:45:44, Temperature: 30, Humidity: 39
Date: 2024-04-30, Time: 21:45:54, Temperature: 30, Humidity: 39
Date: 2024-04-30, Time: 21:46:05, Temperature: 30, Humidity: 39
Date: 2024-04-30, Time: 21:46:16, Temperature: 30, Humidity: 39
Date: 2024-04-30, Time: 21:46:26, Temperature: 30, Humidity: 39
Date: 2024-04-30, Time: 21:46:37, Temperature: 30, Humidity: 39
Date: 2024-04-30, Time: 21:46:47, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:46:58, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:47:09, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:47:19, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:47:30, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:47:41, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:47:51, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:48:02, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:48:12, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:48:23, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:48:34, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:48:44, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:48:55, Temperature: 30, Humidity: 38
Date: 2024-04-30, Time: 21:49:05, Temperature: 30, Humidity: 37
Date: 2024-04-30, Time: 21:49:16, Temperature: 30, Humidity: 37
Date: 2024-04-30, Time: 21:49:27, Temperature: 30, Humidity: 37
Date: 2024-04-30, Time: 21:49:37, Temperature: 30, Humidity: 37
Date: 2024-04-30, Time: 21:49:48, Temperature: 30, Humidity: 37
Date: 2024-04-30, Time: 21:49:59, Temperature: 30, Humidity: 37
Date: 2024-04-30, Time: 21:50:09, Temperature: 30, Humidity: 36
Date: 2024-04-30, Time: 21:50:20, Temperature: 29, Humidity: 36
Date: 2024-04-30, Time: 21:50:30, Temperature: 29, Humidity: 36
Date: 2024-04-30, Time: 21:50:41, Temperature: 29, Humidity: 36
Date: 2024-04-30, Time: 21:50:52, Temperature: 29, Humidity: 36
Date: 2024-04-30, Time: 21:51:02, Temperature: 29, Humidity: 36
Date: 2024-04-30, Time: 21:51:13, Temperature: 29, Humidity: 37
Date: 2024-04-30, Time: 21:51:24, Temperature: 29, Humidity: 37
Date: 2024-04-30, Time: 21:51:34, Temperature: 29, Humidity: 38
Date: 2024-04-30, Time: 21:51:45, Temperature: 29, Humidity: 38
Date: 2024-04-30, Time: 21:51:55, Temperature: 29, Humidity: 38
Date: 2024-04-30, Time: 21:52:06, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:52:17, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:52:27, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:52:38, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:52:49, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:52:59, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:53:10, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:53:20, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:53:31, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:53:42, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:53:52, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:54:03, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:54:14, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:54:24, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:54:35, Temperature: 29, Humidity: 39
Date: 2024-04-30, Time: 21:54:45, Temperature: 29, Humidity: 39
